X,Y,id,@id,building,layer,name,addr:housename,heritage,heritage:operator,historic,ref:nrhp,tourism,wikidata,addr:housenumber,addr:street,alt_name,office,old_name,addr:city,addr:postcode,addr:state,amenity,cuisine,takeaway,delivery,opening_hours,outdoor_seating,smoking,website,man_made,building:levels,operator,addr:country,parking,source,addr:unit,entrance,access,female,male
-75.1804183,39.88777775,way/707489061,way/707489061,yes,,Building 669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.19081265,39.8964353,way/707490226,way/707490226,yes,,Building 895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1844903913126,39.8872394499665,way/707490229,way/707490229,yes,,Building 994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1892555,39.896206,way/707490230,way/707490230,yes,,Building 772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1913463,39.89697365,way/707490232,way/707490232,yes,,Building 897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1912930298068,39.8857429498896,way/707490233,way/707490233,yes,,Building 733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1875441791749,39.8885753999103,way/707490237,way/707490237,yes,,Building 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.18694955,39.8915107,way/707490238,way/707490238,yes,,Building 673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1910341053575,39.8925087002226,way/707490239,way/707490239,yes,,Building 804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1868473730561,39.8912578427494,way/707490240,way/707490240,yes,,,,,,,,,,,,,,,,,,,,,,,,,,water_tower,,,,,Mapbox,,,,,
-75.1874573590899,39.8923527723723,way/707490241,way/707490241,yes,,Building 1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.18890505,39.89195575,way/707490243,way/707490243,yes,,Building 1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1868062766783,39.8922409998635,way/707490244,way/707490244,yes,,Building 1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.18694735,39.8886161,way/707490245,way/707490245,yes,,Building 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1913396513037,39.8923281501577,way/707490246,way/707490246,yes,,Building 738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1901609885473,39.8920291999241,way/707490247,way/707490247,yes,,Building 1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1915863071127,39.8968364999797,way/707490248,way/707490248,yes,,Building 894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.192320753293,39.8909581000735,way/707490249,way/707490249,yes,,Building 1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1917501471177,39.8920160499545,way/707490250,way/707490250,yes,,Building 739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1842969280152,39.8872385001048,way/707490251,way/707490251,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1884608804056,39.8918853489303,way/707490252,way/707490252,yes,,Building 606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1914613348108,39.8871536499568,way/707490253,way/707490253,yes,,Building 620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1844513,39.886801,way/707490254,way/707490254,yes,,Building 573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1844423530561,39.8868779501703,way/707490255,way/707490255,yes,,Building 571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.186666871713,39.8915920238196,way/707490256,way/707490256,yes,,,,,,,,,,,,,,,,,,,,,,,,,,tank,,,,,Mapbox,,,,,
-75.188586656673,39.8927816000353,way/707490257,way/707490257,yes,,Building 646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1819349087559,39.8879584999679,way/707497018,way/707497018,industrial,,Building 546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-75.1852227456274,39.8903871499205,way/707497019,way/707497019,yes,,Building 920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.185670921539,39.8898649003463,way/707497020,way/707497020,yes,,Building 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1867808278924,39.8900389741576,way/707497021,way/707497021,yes,,Building 990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1819385134168,39.8902734000966,way/707497022,way/707497022,yes,,Building 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1826011248431,39.8881171256343,way/707497023,way/707497023,industrial,,Bldg 1000,Bldg 1000,,,,,,,,South 18th Steet,Naval Surface Warfare Center Building 1000,,Building 1000,Philadelphia,19112,,,,,,,,,,,,,,,,,,,,
-75.18790215,39.88871005,way/707497024,way/707497024,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1857860794553,39.8904503496785,way/707497025,way/707497025,yes,,Building 568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1856685836793,39.8900088493113,way/707497026,way/707497026,yes,,Building 602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1857506245074,39.8902222550522,way/707497027,way/707497027,yes,,Building 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1809802700841,39.8912322504874,way/707497028,way/707497028,yes,,Building 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1814329840407,39.8897978995784,way/707497029,way/707497029,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1842767,39.89030395,way/707497030,way/707497030,yes,,Building 592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1815842,39.89118605,way/707497031,way/707497031,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.18624215,39.8901692,way/707497032,way/707497032,yes,,Building 754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1821162418273,39.8907070498299,way/707497033,way/707497033,yes,,Building 1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.18609835,39.88982685,way/707497034,way/707497034,yes,,Building 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.18026,39.89038705,way/707497035,way/707497035,yes,,Building 121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1875488812093,39.8890823996501,way/707497036,way/707497036,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1794963467734,39.8904467498676,way/707504478,way/707504478,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1777485414004,39.8927163458055,way/707504479,way/707504479,yes,,Building 520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.17965875,39.8906639,way/707504480,way/707504480,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1789104562251,39.8917767433799,way/707504482,way/707504482,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1784358857858,39.8927694468222,way/707504483,way/707504483,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1767469876998,39.8906444172199,way/707504484,way/707504484,yes,,Building 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.178456,39.89310825,way/707504485,way/707504485,yes,,Building 531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1789783256855,39.8933914999567,way/707504488,way/707504488,yes,,Building 545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.178923658119,39.8919273947854,way/707504489,way/707504489,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1786571,39.8915783,way/707504490,way/707504490,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1774000741567,39.8916499003022,way/707504491,way/707504491,yes,,Building 418W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1774439893274,39.8935124498759,way/707504492,way/707504492,yes,,Building 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.17692695,39.89182605,way/707504494,way/707504494,yes,,Building 605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1796876092595,39.8912746465766,way/707504497,way/707504497,yes,,Building 643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.178459523102,39.8925038992238,way/707504499,way/707504499,yes,,Building 745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.176908202639,39.892920900067,way/707504501,way/707504501,yes,,Building 662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1788868223749,39.8920999611657,way/707504504,way/707504504,yes,,Building 824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1783300813852,39.8915155996131,way/707504505,way/707504505,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.17701105,39.89145965,way/707504506,way/707504506,yes,,Building 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1780738570614,39.8921095225585,way/707504508,way/707504508,yes,,Building 633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.17988045,39.89064615,way/707504509,way/707504509,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.18262795,39.89689785,way/707504510,way/707504510,yes,,Building 645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1765437542747,39.8916893597557,way/707504511,way/707504511,yes,,Building 615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.17686535,39.8872194,way/707505307,way/707505307,yes,,Building 574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.17655355,39.88806135,way/707505311,way/707505311,yes,,Building 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.17606425,39.8881514,way/707505312,way/707505312,yes,,Building 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1754959551446,39.895249749928,way/707835613,way/707835613,yes,,Building M-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1753451,39.8907742,way/707835615,way/707835615,yes,,Building 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1744191968994,39.8921345999923,way/707835616,way/707835616,yes,,Building 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1756737007813,39.8910704613436,way/707835617,way/707835617,yes,,Building 626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1755641311257,39.894960400175,way/707835619,way/707835619,yes,,Building M-5 & 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.174238034128,39.890421499844,way/707835620,way/707835620,yes,,Building 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1737546435762,39.8878428681703,way/707835622,way/707835622,yes,,Building C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1753767957448,39.8958014000812,way/707835624,way/707835624,yes,,Building M-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.17359115,39.8918339,way/707835625,way/707835625,yes,,Building 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1754057966381,39.8966346001046,way/707835627,way/707835627,yes,,Building 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1724831149565,39.8876306503163,way/707835633,way/707835633,yes,,Building L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.17573555,39.89122575,way/707835634,way/707835634,yes,,Building 1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1752044640112,39.8942473495832,way/707835638,way/707835638,yes,,Building M-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1691819723759,39.890179900098,way/707835641,way/707835641,yes,,Building 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
-75.1744523433964,39.8931619504938,way/707835643,way/707835643,yes,,Building 101,,,,,,,,4747,South Broad Street,,,,Philadelphia,19112,PA,,,,,,,,,,,,,,Mapbox,Suite 231,,,,
-75.1754389,39.89551835,way/707835649,way/707835649,yes,,Building M-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapbox,,,,,
