origin,dest,count,connection
3,4,1159.840263,weak
3,4,1014.543583,weak
3,4,1046.573248,weak
3,4,1089.240246,weak
3,4,1448.817576,weak
3,4,1214.98113,weak
3,4,1345.263567,weak
3,4,1200.228884,weak
3,4,1424.362335,weak
3,4,1292.855681,weak
3,4,1283.174276,weak
3,4,1495.602308,weak
3,4,1397.094942,weak
3,4,1555.140436,weak
3,4,1390.531364,weak
3,4,1201.774235,weak
3,4,1402.535434,weak
3,4,1706.224107,weak
3,4,1394.027474,weak
3,4,1471.392053,weak
3,4,1572.949444,weak
3,4,1252.113089,weak
3,4,1205.964177,weak
3,4,1265.734382,weak
3,4,1611.594914,weak
3,4,1468.922841,weak
3,4,1352.68593,weak
3,4,1187.045088,weak
3,4,1511.618013,weak
3,4,1554.966552,weak
3,4,1158.385178,weak
3,4,1446.503397,weak
3,4,1430.457646,weak
3,4,1376.162176,weak
3,4,1577.201893,weak
4,5,306.1779623,strong
4,5,315.4700454,strong
4,5,646.5189669,strong
4,5,347.8844157,strong
4,5,945.2402227,weak
4,5,789.8833317,strong
4,5,788.233814,strong
4,5,1103.879995,weak
4,5,608.8691694,strong
4,5,997.1123897,weak
4,5,771.0273127,strong
4,5,959.5823384,weak
4,5,997.1504181,weak
4,5,786.3923351,strong
4,5,434.7610291,strong
4,5,1080.732564,weak
4,5,918.4214486,weak
4,5,798.1426358,strong
4,5,712.2353679,strong
4,5,668.1692263,strong
4,5,433.0788844,strong
4,5,953.4570812,weak
4,5,932.6685322,weak
4,5,996.5719326,weak
4,5,901.869199,weak
4,5,887.4572258,weak
4,5,911.8720149,weak
4,5,880.8313618,weak
4,5,901.7001499,weak
4,5,875.0399073,weak
4,5,1103.356096,weak
4,5,1226.488014,weak
4,5,923.9417884,weak
4,5,760.3937413,strong
4,5,732.9972845,strong
4,5,1091.61617,weak
4,5,1038.507037,weak
4,5,753.9202033,strong
4,5,1009.115119,weak
4,5,1172.443622,weak
4,5,742.139777,strong
4,5,985.330753,weak
4,5,830.1121178,weak
4,5,1082.646116,weak
4,5,698.2767397,strong
4,5,876.2510364,weak
4,5,1490.445382,weak
4,5,1050.644349,weak
4,5,757.1628337,strong
4,5,964.5871715,weak
4,5,721.7260978,strong
4,5,845.2956563,weak
4,5,689.5570836,strong
4,5,1020.886066,weak
4,5,997.1203318,weak
4,5,927.8347916,weak
4,5,896.2520367,weak
4,5,1147.517159,weak
4,5,1044.637937,weak
4,5,820.6712044,weak
4,5,1375.622256,weak
4,5,1128.784007,weak
4,5,1120.325545,weak
4,5,769.4535503,strong
4,5,966.0660344,weak
4,5,777.9031444,strong
4,5,846.9937626,weak
4,5,878.5111827,weak
4,5,710.0024655,strong
4,5,954.4336836,weak
4,5,794.771823,strong
4,5,832.7455463,weak
4,5,815.2766217,weak
4,5,600.0945948,strong
4,5,753.432475,strong
4,5,841.5696146,weak
4,5,663.9103629,strong
4,5,868.116671,weak
4,5,697.6333741,strong
4,5,521.5812712,strong
4,5,762.7592501,strong
4,5,452.7013186,strong
4,5,403.7419058,strong
4,5,638.090122,strong
4,5,467.5187485,strong
4,5,642.8059337,strong
4,5,607.5846001,strong
4,5,511.7348691,strong
4,5,547.0646403,strong
4,5,538.3376579,strong
4,5,673.2119939,strong
4,5,565.6954413,strong
4,5,133.0511185,strong
4,5,673.9165996,strong
4,5,1106.777801,weak
4,5,1028.729171,weak
4,5,1036.200801,weak
4,5,504.1837192,strong
4,5,816.5095057,weak
4,5,759.758484,strong
4,5,773.3223114,strong
4,5,509.4698885,strong
4,5,906.3817242,weak
